author_channel_id,cluster_id,pagerank,degree
UCyBHn-NwM8ymEZhEuRiLgFw,13,0.0006561790891967942,92
UCDP8MfeKQFaMrDce2NGxoKw,15,0.0006561212688651442,90
UCYjdIBrbYM_ge7esINDK5uA,29,0.0006538358137546759,61
UC0upjJypqmnA3GxZB5YzbZA,52,0.0006537034535704816,68
UCdroNJt2Cr6wuHt-xoJL0Mw,29,0.0006516723721221137,61
UCviyIvNuRLPWQam-GrHFkHg,8,0.0006511456542622305,198
UCM9gN-tkiwPEaHAeG-ds99A,27,0.0006497827910651487,55
UCdBYaDqAK75QzC9LUdmRe-g,8,0.0006495687758608432,194
UC5Sp6W3N22_M84J1agdP79g,0,0.0006476208234055765,69
UCXKzxprFzWF7cfWGWgpxwiA,19,0.0006451909414766314,49
UCDTowCEXTMbySqlsisobXrg,0,0.0006441274228160649,69
UC83d8XNXAxYJGQu8apqcnQQ,8,0.000643335639107509,194
UCUIxBqQ7UIkisQTO42lRL5g,10,0.0006425029470094945,101
UCGqN6kI50yECZQXU7VOHrcQ,28,0.0006410847752684392,97
UCGQbqqR9V37YDR8g2MbcXCw,13,0.0006410412874209062,88
UCr-4sBPUbIoen209g3SJnYA,65,0.0006390660855360567,78
UCb3t3vB2juYn5CbhYE06GrQ,13,0.0006342929014531437,86
UCW5JyruY_iBsF2WxfoZ_azg,81,0.0006332776752935826,24
UCwyqqBpbtR2VqAuGGm6NLVA,78,0.0006318914475772897,47
UCXwTaKHt9AyaNF97-bE5B9w,30,0.0006318615805928219,42
UCu2RccPb3HMpxJ9QWZqAtsw,29,0.0006311776034263959,60
UCm9wMu_pn0ZIi0cSnBU7CxQ,29,0.0006268948624562986,61
UC3O0nf_TQW1YPXSRNLSCD-g,8,0.0006267064388162317,189
UCsf6jIfdw-riFKdsV5d8XDA,26,0.0006243381216852258,66
UCIBk5JiIB9keHYnxu0Q9-fA,8,0.0006234156699623192,192
UCFrhkaTfQ2ZWtImFC_dhy9w,13,0.0006234032279086433,87
UCX3VeTHRxHPKEgKVCuv95VA,12,0.0006189853745193373,29
UCLzKqoBv49-J_lJ1ikE2HEw,8,0.0006175330926794473,187
UCwWp-VpFiNRbmTSplJk42xg,83,0.0006154528498544011,26
UCkYG-G_DPzqzO7xztd74o-w,28,0.0006139460884236119,97
UCWg4OKbz7-bftdrp0KJnU1Q,0,0.000612318135919601,62
UCD7goXbegat9Cgu9oe6facw,78,0.0006114408403433863,45
UCdddqYhMhb-Wrzs-4fQGSIA,65,0.0006108880584388966,76
UCQkQFB0cVStdpz4mQTFsGEA,83,0.0006099427801968116,24
UCDUBtCcJMp1Gpx_bAAa_azg,65,0.0006081853723748266,77
UCOAQer0-6yTnnwHuf5IVipg,48,0.0006032804645355153,41
UCmUFddblVBDME1woEH61eSg,8,0.0005992665474914143,177
UCnkEa4jKeTzxz-p3Rtppskg,33,0.0005989476436995243,64
UCyoqd1FCjGW0K7XkgqB0JWQ,0,0.000598227474293796,65
UC_OpSqABbnd-vO2aL0qD76g,29,0.000597824433255661,56
UCA-Cza0F72Ofn8x1jJiwrWg,41,0.0005961419784531565,41
UC23WXFPI2LaDWe61AJB0KHA,28,0.0005940824313025459,89
UCWLB1mnpgor7L32vUiiJS-w,4,0.0005936703871287923,50
